Year,Winner,LeaguePosition
2011,Manchester United,2
2010,Manchester United,1
2009,Chelsea,1
2008,Manchester United,1
2007,Manchester United,1
2006,Liverpool,4
2005,Chelsea,1
2004,Arsenal,2
2003,Manchester United,3
2002,Arsenal,2
2001,Liverpool,17
2000,Chelsea,6
1999,Arsenal,2
1998,Arsenal,2
1997,Manchester United,2
1996,Manchester United,1
1995,Everton,6
1994,Manchester United,2
1993,Manchester United,1
1992,Leeds United,17
1991,Tottenham Hotspur,15
1991,Arsenal,4
1990,Liverpool,2
1990,Manchester United,6
1989,Liverpool,1
1988,Liverpool,2
1987,Everton,4
1986,Liverpool,2
1986,Everton,1
1985,Everton,2
1984,Everton,1
1983,Manchester United,4
1982,Liverpool,1
1981,Tottenham Hotspur,4
1981,Aston Villa,11
1980,Liverpool,5
1979,Liverpool,1
1978,Nottingham Forest,2
1977,Liverpool,2
1977,Manchester United,10
1976,Liverpool,1
1975,Derby County,4
1974,Liverpool,2
1973,Burnley,6
1972,Manchester City,11
1971,Leicester City,12
1970,Everton,14
1969,Leeds United,2
1968,Manchester City,13
1967,Manchester United,2
1967,Tottenham Hotspur,7
1966,Liverpool,5
1965,Liverpool,1
1965,Manchester United,4
1964,West Ham United,9
1964,Liverpool,7
1963,Everton,3
1962,Tottenham Hotspur,2
1961,Tottenham Hotspur,3
1960,Wolverhampton Wanderers,3
1960,Burnley,4
1959,Wolverhampton Wanderers,2
1958,Bolton Wanderers,4
1957,Manchester United,9
1956,Manchester United,1
1955,Chelsea,16
1954,Wolverhampton Wanderers,2
1954,West Bromwich Albion,17
1953,Arsenal,12
1952,Manchester United,8
1951,Tottenham Hotspur,2
1950,England,-1
1949,Wolverhampton Wanderers,2
1949,Portsmouth,1
1948,Arsenal,5
1938,Arsenal,5
1937,Manchester City,21
1936,Sunderland AFC,8
1935,Sheffield Wednesday,20
1934,Arsenal,1
1933,Arsenal,1
1932,Everton,11
1931,Arsenal,2
1930,Arsenal,1
1929,English Professionals,-1
1928,Everton,18
1927,Cardiff City,6
1926,English Amateurs,-1
1925,English Amateurs,-1
1924,English Professionals,-1
1923,English Professionals,-1
1922,Huddersfield Town,3
1921,Tottenham Hotspur,2
1920,West Bromwich Albion,14
1913,English Professionals,-1
1912,Blackburn Rovers,5
1911,Manchester United,13
1910,Brighton & Hove Albion,-1
1909,Newcastle United,4
1908,Manchester United,13
